itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1183,9.048,1.696,12.053,15.35,2.184,24.04,1.553,0.339,1.6,1.552,0.665,1.875,0.557,0.438,0.311,8.299,14.646,1.972,1.664,0.507,6.32,8.298,2.398,0.837,0.541
1184,8.381,2.189,14.301,14.02,2.543,28.802,1.345,0.337,1.73,2.093,0.646,2.194,0.556,0.572,0.346,11.899,16.418,2.103,1.532,0.536,6.331,7.89,2.217,1.002,0.556
1185,7.629,2.709,16.502,12.456,3.006,32.666,1.251,0.377,1.929,2.887,0.626,2.872,0.569,0.784,0.387,16.312,17.779,2.421,1.414,0.604,7.197,8.805,2.32,1.284,0.575
1186,6.965,3.074,18.042,11.049,3.367,34.413,1.285,0.424,2.101,3.542,0.596,3.508,0.588,1.023,0.423,20.025,17.901,2.831,1.318,0.684,8.327,10.336,2.485,1.56,0.584
1187,6.549,3.146,18.354,10.09,3.445,33.555,1.473,0.449,2.168,3.777,0.556,3.77,0.602,1.237,0.445,22.102,16.596,3.173,1.251,0.751,9.122,11.645,2.601,1.722,0.571
1188,6.531,2.887,17.261,9.68,3.174,30.517,1.792,0.44,2.109,3.54,0.511,3.584,0.6,1.38,0.448,22.457,14.288,3.311,1.205,0.789,9.242,12.244,2.666,1.72,0.535
1189,7.116,2.376,15.216,9.907,2.627,26.526,2.18,0.399,1.994,2.981,0.463,3.093,0.574,1.427,0.429,21.554,11.803,3.229,1.183,0.788,8.836,12.184,2.71,1.566,0.482
1190,8.492,1.787,13.089,10.935,1.98,23.08,2.516,0.344,1.902,2.404,0.416,2.662,0.53,1.388,0.392,20.056,9.956,3.046,1.2,0.748,8.438,12.058,2.797,1.348,0.426
1191,10.604,1.313,11.778,12.792,1.435,21.303,2.656,0.297,1.887,2.095,0.377,2.639,0.488,1.294,0.345,18.428,9.128,2.9,1.28,0.684,8.585,12.552,2.976,1.183,0.382
1192,13.089,1.076,11.796,15.268,1.12,21.465,2.526,0.269,1.924,2.157,0.35,3.154,0.469,1.181,0.295,16.814,9.221,2.92,1.421,0.62,9.396,13.949,3.256,1.148,0.361
1193,15.424,1.094,12.884,18.023,1.062,22.743,2.163,0.261,1.953,2.504,0.334,4.078,0.478,1.069,0.25,15.024,9.758,3.142,1.591,0.578,10.534,15.835,3.606,1.245,0.36
