itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
783,1.937,0.946,7.492,2.587,1.071,10.558,1.104,0.6,8.704,2.639,1.208,5.593,1.175,1.814,1.213,1.772,1.585,1.763,0.856,0.394,3.143,1.312,2.421,1.536,1.093
784,1.627,0.84,6.527,2.338,0.92,9.243,1.107,0.617,8.606,2.097,1.134,5.242,1.109,1.721,1.104,1.842,1.571,1.72,0.814,0.4,3.316,1.154,2.321,1.678,1.15
785,1.516,0.762,5.34,2.191,0.826,7.383,1.138,0.701,8.19,1.606,1.104,4.371,1.028,1.517,0.997,1.983,1.484,1.564,0.774,0.399,3.591,1.066,2.124,1.814,1.171
786,1.593,0.724,4.213,2.213,0.801,5.599,1.182,0.825,7.509,1.288,1.129,3.301,0.95,1.284,0.906,2.187,1.411,1.387,0.733,0.396,3.982,1.086,1.893,1.905,1.149
787,1.772,0.729,3.531,2.325,0.84,4.475,1.215,0.955,6.76,1.169,1.201,2.378,0.9,1.103,0.843,2.436,1.427,1.273,0.687,0.401,4.428,1.184,1.682,1.926,1.094
788,1.982,0.775,3.761,2.401,0.927,4.553,1.224,1.067,6.11,1.19,1.285,1.819,0.896,1.028,0.813,2.725,1.558,1.24,0.629,0.418,4.902,1.296,1.525,1.869,1.037
789,2.199,0.854,5.118,2.366,1.037,5.927,1.198,1.149,5.81,1.27,1.341,1.621,0.94,1.048,0.809,2.978,1.754,1.261,0.567,0.446,5.331,1.351,1.456,1.751,1.021
790,2.424,0.952,7.439,2.231,1.135,8.306,1.134,1.192,5.897,1.336,1.34,1.612,1.013,1.106,0.821,3.192,1.92,1.277,0.511,0.48,5.675,1.325,1.496,1.607,1.072
791,2.632,1.056,9.986,2.053,1.202,10.911,1.044,1.194,6.115,1.338,1.284,1.585,1.085,1.137,0.841,3.306,1.97,1.232,0.48,0.514,5.84,1.268,1.652,1.481,1.184
792,2.771,1.16,11.869,1.951,1.232,12.903,0.961,1.168,6.175,1.276,1.196,1.447,1.127,1.106,0.854,3.246,1.866,1.108,0.49,0.541,5.828,1.262,1.903,1.41,1.316
793,2.785,1.251,12.422,2.067,1.227,13.766,0.904,1.123,5.948,1.174,1.105,1.218,1.117,1.013,0.851,3.188,1.642,0.932,0.536,0.556,5.818,1.363,2.175,1.403,1.414
794,2.639,1.305,11.448,2.454,1.187,13.304,0.895,1.06,5.587,1.059,1.032,0.975,1.055,0.883,0.833,3.245,1.382,0.741,0.6,0.557,5.991,1.558,2.377,1.447,1.449
795,2.412,1.311,9.405,3.123,1.127,11.867,0.924,0.984,5.275,0.98,0.998,0.869,0.963,0.748,0.814,3.799,1.197,0.582,0.663,0.547,6.337,1.754,2.485,1.525,1.425
796,2.334,1.285,7.05,4.159,1.082,9.974,0.973,0.899,5.0,1.01,1.018,1.111,0.874,0.648,0.808,4.746,1.205,0.479,0.717,0.528,6.756,1.93,2.594,1.631,1.368
797,2.657,1.262,5.138,5.628,1.093,8.321,1.04,0.821,4.886,1.182,1.103,1.825,0.816,0.608,0.822,6.001,1.453,0.43,0.773,0.506,7.09,2.152,2.835,1.766,1.303
798,3.472,1.267,4.046,7.384,1.193,7.262,1.122,0.771,4.959,1.439,1.247,2.928,0.8,0.645,0.853,7.198,1.874,0.415,0.844,0.483,7.207,2.484,3.254,1.913,1.247
799,4.605,1.302,3.65,9.039,1.382,6.728,1.202,0.759,5.282,1.663,1.414,4.119,0.825,0.767,0.893,7.958,2.334,0.427,0.932,0.465,6.946,2.908,3.751,2.047,1.202
800,5.723,1.345,3.547,10.097,1.612,6.379,1.274,0.787,5.663,1.792,1.55,5.046,0.882,0.981,0.93,7.987,2.716,0.488,1.018,0.452,6.254,3.327,4.164,2.149,1.164
801,6.548,1.363,3.56,10.245,1.813,5.896,1.368,0.84,5.852,1.888,1.604,5.454,0.963,1.282,0.956,7.263,2.963,0.638,1.068,0.448,5.227,3.613,4.367,2.207,1.139
802,7.338,1.328,6.06,9.573,1.928,5.909,1.493,0.894,5.747,2.194,1.551,5.328,1.055,1.674,0.97,6.072,3.051,0.895,1.053,0.45,4.114,3.653,4.336,2.21,1.142
