itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
934,4.298,0.928,5.044,6.269,0.86,7.322,1.003,0.466,0.78,1.778,0.415,1.59,0.476,0.366,0.27,2.555,4.565,1.882,1.008,0.356,6.012,3.386,1.009,0.692,0.402
935,4.049,0.932,4.972,5.507,0.834,7.198,0.849,0.42,0.754,1.829,0.439,1.347,0.511,0.291,0.286,3.415,4.592,1.386,0.878,0.375,4.96,2.385,0.789,0.685,0.466
936,4.659,1.097,5.319,5.746,0.956,7.242,0.744,0.405,0.807,2.258,0.464,1.359,0.549,0.283,0.294,4.487,4.992,1.202,0.799,0.395,4.06,2.001,1.022,0.9,0.526
937,5.916,1.38,6.263,6.751,1.179,7.708,0.701,0.395,0.899,2.861,0.487,1.518,0.583,0.319,0.293,5.572,5.741,1.27,0.774,0.414,3.629,1.958,1.565,1.271,0.576
938,7.44,1.682,7.687,8.139,1.413,8.726,0.732,0.375,0.989,3.4,0.504,1.685,0.601,0.365,0.287,6.405,6.635,1.471,0.79,0.427,3.889,1.989,2.198,1.664,0.611
939,8.761,1.892,9.243,9.389,1.564,10.252,0.816,0.347,1.045,3.716,0.512,1.806,0.597,0.392,0.284,6.798,7.424,1.684,0.815,0.429,4.968,2.094,2.736,1.93,0.621
940,9.398,1.923,10.515,9.97,1.575,11.97,0.914,0.318,1.062,3.693,0.506,1.826,0.567,0.388,0.288,6.679,7.942,1.806,0.812,0.419,6.731,2.477,3.025,1.966,0.604
941,9.088,1.755,11.143,9.603,1.442,13.401,0.982,0.3,1.068,3.323,0.482,1.711,0.514,0.362,0.299,6.24,8.12,1.786,0.758,0.404,8.656,3.307,2.981,1.752,0.56
942,7.936,1.45,10.851,8.382,1.22,14.049,0.997,0.298,1.095,2.728,0.439,1.478,0.446,0.34,0.313,5.855,7.957,1.636,0.658,0.392,10.17,4.509,2.641,1.36,0.495
943,6.456,1.123,9.834,6.768,1.005,13.871,0.96,0.309,1.162,2.069,0.381,1.188,0.373,0.346,0.323,5.911,7.51,1.406,0.539,0.395,10.948,5.716,2.141,0.929,0.424
944,5.456,0.897,8.492,5.586,0.893,13.069,0.889,0.333,1.272,1.592,0.322,1.04,0.312,0.393,0.322,6.664,6.871,1.273,0.455,0.424,10.949,6.484,1.733,0.63,0.364
945,5.556,0.833,7.385,5.522,0.923,12.149,0.812,0.371,1.392,1.528,0.277,1.261,0.277,0.481,0.308,7.994,6.085,1.478,0.464,0.487,10.543,6.525,1.663,0.588,0.335
946,6.831,0.908,6.763,6.692,1.06,11.426,0.754,0.42,1.482,1.965,0.253,1.943,0.274,0.593,0.281,9.584,5.253,2.158,0.589,0.577,10.281,5.886,2.018,0.818,0.344
947,8.761,1.038,6.634,8.54,1.221,11.12,0.73,0.476,1.499,2.78,0.248,2.974,0.297,0.7,0.249,10.871,4.646,3.196,0.801,0.67,10.464,4.888,2.681,1.214,0.38
948,10.524,1.137,6.767,10.175,1.328,11.145,0.732,0.53,1.424,3.697,0.252,4.069,0.332,0.771,0.222,11.416,4.558,4.279,1.028,0.737,11.084,3.964,3.405,1.613,0.42
949,11.57,1.162,7.014,11.002,1.354,11.228,0.752,0.573,1.277,4.435,0.258,4.922,0.365,0.792,0.206,11.205,5.185,5.052,1.196,0.757,11.684,3.402,3.949,1.877,0.448
950,11.779,1.111,7.123,10.917,1.306,11.085,0.785,0.598,1.094,4.79,0.257,5.314,0.384,0.763,0.204,10.553,6.635,5.289,1.261,0.726,11.892,3.219,4.132,1.923,0.456
951,11.33,1.003,6.921,10.103,1.213,10.395,0.837,0.602,0.911,4.688,0.248,5.167,0.377,0.708,0.212,9.896,8.711,4.968,1.223,0.659,11.389,3.2,3.891,1.738,0.442
952,10.548,0.873,6.41,8.925,1.101,9.133,0.924,0.587,0.755,4.191,0.236,4.563,0.345,0.651,0.221,9.516,10.974,4.261,1.128,0.582,10.227,3.124,3.3,1.396,0.413
953,9.725,0.764,5.682,7.751,0.991,7.373,1.052,0.565,0.621,3.517,0.233,3.76,0.3,0.601,0.222,9.48,12.921,3.485,1.028,0.519,8.795,2.982,2.59,1.021,0.381
954,9.09,0.715,4.927,6.873,0.915,5.511,1.248,0.554,0.513,3.033,0.249,3.165,0.263,0.575,0.212,9.536,14.32,3.005,0.972,0.479,7.571,2.974,2.055,0.739,0.354
955,8.764,0.747,4.348,6.389,0.902,4.146,1.516,0.572,0.477,3.059,0.29,3.079,0.251,0.574,0.198,9.466,15.312,3.002,0.979,0.462,6.929,3.279,1.867,0.62,0.337
956,8.913,0.855,4.226,6.42,0.962,3.852,1.809,0.623,0.55,3.652,0.348,3.531,0.268,0.585,0.189,9.18,16.185,3.363,1.033,0.454,7.007,4.004,2.043,0.658,0.329
957,9.83,1.013,4.641,7.286,1.095,4.853,2.046,0.691,0.732,4.578,0.407,4.297,0.306,0.584,0.191,8.792,17.322,3.78,1.095,0.442,7.719,5.127,2.447,0.787,0.322
958,11.775,1.186,5.627,9.337,1.274,7.041,2.143,0.751,0.971,5.404,0.452,4.989,0.346,0.551,0.204,8.547,18.831,3.926,1.124,0.42,8.756,6.463,2.834,0.92,0.311
